D1: D1  D19 D20 D27 D28 D30 D31 D32
D2: D2  D18 D20 D26 D28 D29 D31 D32
D3: D3  D17 D19 D25 D27 D29 D30 D32
D4: D4  D17 D18 D25 D26 D29 D30 D31
D5: D5  D16 D20 D23 D24 D28 D31 D32
D6: D6  D15 D19 D22 D24 D27 D30 D32
D7: D7  D14 D18 D21 D23 D26 D29 D31
D8: D8  D13 D17 D21 D22 D25 D29 D30
D9: D9  D15 D16 D22 D23 D24 D27 D28
D10: D10 D14 D16 D21 D23 D24 D26 D28
D11: D11 D13 D15 D21 D22 D24 D25 D27
D12: D12 D13 D14 D21 D22 D23 D25 D26
D13: D8  D11 D12 D13 D20 D28 D31 D32
D14: D7  D10 D12 D14 D19 D27 D30 D32
D15: D6  D9  D11 D15 D18 D26 D29 D31
D16: D5  D9  D10 D16 D17 D25 D29 D30
D17: D3  D4  D8  D16 D17 D23 D24 D28
D18: D2  D4  D7  D15 D18 D22 D24 D27
D19: D1  D3  D6  D14 D19 D21 D23 D26
D20: D1  D2  D5  D13 D20 D21 D22 D25
D21: D7  D8  D10 D11 D12 D19 D20 D21
D22: D6  D8  D9  D11 D12 D18 D20 D22
D23: D5  D7  D9  D10 D12 D17 D19 D23
D24: D5  D6  D9  D10 D11 D17 D18 D24
D25: D3  D4  D8  D11 D12 D16 D20 D25
D26: D2  D4  D7  D10 D12 D15 D19 D26
D27: D1  D3  D6  D9  D11 D14 D18 D27
D28: D1  D2  D5  D9  D10 D13 D17 D28
D29: D2  D3  D4  D7  D8  D15 D16 D29
D30: D1  D3  D4  D6  D8  D14 D16 D30
D31: D1  D2  D4  D5  D7  D13 D15 D31
D32: D1  D2  D3  D5  D6  D13 D14 D32
